Wall time,Step,Value
1719202566.848147,1548000,29.980262756347656
1719202596.9757917,1552000,26.37266731262207
1719202626.5652287,1556000,27.85054588317871
1719202652.4742448,1560000,27.51765251159668
1719202680.611009,1564000,27.491836547851562
1719202710.964423,1568000,29.000904083251953
1719202740.753952,1572000,29.99030876159668
1719202770.1775339,1576000,29.36180877685547
1719202799.7836316,1580000,25.188343048095703
1719202825.546393,1584000,27.06589126586914
1719202850.1360998,1588000,35.455997467041016
1719202879.5824523,1592000,29.587308883666992
1719202908.4239414,1596000,29.204328536987305
1719202937.7262156,1600000,26.762054443359375
1719202968.862682,1604000,29.368473052978516
1719203000.0231464,1608000,27.83323097229004
1719203030.4618003,1612000,29.698787689208984
1719203054.962854,1616000,29.803600311279297
1719203078.6491952,1620000,27.54088020324707
1719203108.7407913,1624000,25.836942672729492
1719203138.124963,1628000,28.596221923828125
1719203168.153468,1632000,27.925588607788086
1719203197.066651,1636000,27.170207977294922
1719203229.1952994,1640000,30.874042510986328
1719203258.1441815,1644000,29.293506622314453
1719203287.2899675,1648000,28.378803253173828
1719203315.236051,1652000,26.739124298095703
1719203339.0048156,1656000,27.819364547729492
1719203365.7819843,1660000,31.067399978637695
1719203394.9917746,1664000,28.371936798095703
1719203425.5275385,1668000,25.9382266998291
1719203455.2581887,1672000,24.655197143554688
1719203485.8124793,1676000,28.01761245727539
1719203513.9796765,1680000,25.152727127075195
1719203542.4427047,1684000,29.192914962768555
1719203566.9325223,1688000,28.13458824157715
1719203590.254642,1692000,31.011917114257812
1719203618.4750454,1696000,27.998876571655273
1719203647.5890174,1700000,26.01736068725586
1719203677.9160795,1704000,27.266441345214844
1719203706.424815,1708000,25.915559768676758
1719203736.0528975,1712000,29.434873580932617
1719203764.5032125,1716000,28.91531753540039
1719203793.4417977,1720000,25.893009185791016
1719203821.4081538,1724000,26.40436363220215
1719203845.7612264,1728000,27.710514068603516
1719203871.3807561,1732000,29.71851348876953
1719203903.2051175,1736000,29.681562423706055
1719203931.901888,1740000,28.519243240356445
1719203960.4544084,1744000,28.933439254760742
1719203990.6874793,1748000,26.612239837646484
1719204020.045438,1752000,27.467945098876953
1719204047.941917,1756000,24.71959114074707
1719204072.0346014,1760000,31.457229614257812
1719204097.5809953,1764000,27.57256507873535
1719204127.307084,1768000,24.50040626525879
1719204156.1487045,1772000,26.8514347076416
1719204184.2660856,1776000,25.615877151489258
1719204214.983656,1780000,31.752567291259766
1719204243.5309348,1784000,25.629894256591797
1719204272.7246425,1788000,26.756874084472656
1719204302.1897745,1792000,25.67627716064453
1719204327.4481564,1796000,25.993574142456055
1719204350.8151894,1800000,27.941505432128906
1719204378.0242105,1804000,24.181745529174805
1719204406.155598,1808000,26.859203338623047
1719204435.7111478,1812000,27.805234909057617
1719204465.0885055,1816000,27.60198211669922
1719204493.610969,1820000,27.44109344482422
1719204523.100392,1824000,28.01539421081543
1719204553.328984,1828000,28.095203399658203
1719204579.9716587,1832000,30.761676788330078
1719204605.3332722,1836000,31.73617935180664
1719204632.4060087,1840000,26.56911277770996
1719204662.3520238,1844000,24.439794540405273
1719204691.1588051,1848000,25.17314910888672
1719204719.6433887,1852000,27.36163902282715
1719204749.1620922,1856000,28.48055648803711
1719204778.5527258,1860000,29.178895950317383
1719204807.616831,1864000,23.382715225219727
1719204837.5520165,1868000,25.622440338134766
1719204861.81501,1872000,29.199493408203125
1719204886.7750533,1876000,27.9395809173584
1719204916.4285643,1880000,27.330360412597656
1719204947.392359,1884000,25.5003662109375
1719204977.075497,1888000,28.765213012695312
1719205007.6513975,1892000,24.6418514251709
1719205038.4126158,1896000,28.932552337646484
1719205068.9677238,1900000,25.560283660888672
1719205098.583408,1904000,31.007577896118164
1719205122.982281,1908000,25.99346160888672
1719205147.4015522,1912000,25.95937156677246
1719205176.4270122,1916000,26.322189331054688
1719205207.621933,1920000,28.98154640197754
1719205238.4533594,1924000,27.468053817749023
1719205267.7629406,1928000,24.69813346862793
1719205298.185362,1932000,31.207111358642578
1719205329.2295513,1936000,26.59893035888672
1719205355.2397907,1940000,24.761568069458008
1719205379.6618433,1944000,26.342041015625
1719205408.1705396,1948000,22.713022232055664
1719205437.455298,1952000,27.329151153564453
1719205467.38105,1956000,26.029890060424805
1719205496.9769626,1960000,32.34115982055664
1719205526.705625,1964000,26.183774948120117
1719205556.13392,1968000,29.34972381591797
1719205585.8147473,1972000,28.812381744384766
1719205610.334646,1976000,24.438425064086914
1719205634.4506774,1980000,29.667728424072266
1719205662.8637064,1984000,28.37293243408203
1719205693.9595747,1988000,26.588274002075195
1719205724.0263925,1992000,29.492950439453125
1719205752.5587955,1996000,26.738265991210938
1719205781.6522706,2000000,24.701040267944336
1719205811.2802083,2004000,26.728809356689453
1719205839.4472494,2008000,28.597152709960938
1719205868.8600743,2012000,25.45939826965332
1719205893.0407913,2016000,24.739830017089844
1719205919.0324419,2020000,26.21923828125
1719205948.4219897,2024000,25.37665367126465
1719205977.6219687,2028000,27.341541290283203
1719206006.765075,2032000,24.407678604125977
1719206035.3632987,2036000,27.86553955078125
1719206063.5939438,2040000,27.53468132019043
1719206092.4629266,2044000,25.282268524169922
1719206121.3911686,2048000,32.35491943359375
1719206150.8799963,2052000,24.94697380065918
1719206177.1774623,2056000,26.085796356201172
1719206200.4431632,2060000,23.346357345581055
1719206231.434238,2064000,29.570011138916016
1719206259.9120333,2068000,28.50354766845703
1719206287.866996,2072000,28.721271514892578
1719206317.1281216,2076000,31.21671485900879
1719206345.8289335,2080000,26.779775619506836
1719206374.499845,2084000,27.372900009155273
1719206404.630493,2088000,27.16804313659668
1719206432.7278736,2092000,28.806537628173828
1719206457.3906186,2096000,29.77726936340332
1719206483.7119036,2100000,25.30583381652832
1719206513.9780283,2104000,27.781770706176758
1719206543.5161328,2108000,24.52182388305664
1719206573.212188,2112000,25.49711799621582
1719206602.5237281,2116000,26.917428970336914
1719206631.332139,2120000,29.11949348449707
1719206660.1398354,2124000,24.529142379760742
1719206688.300004,2128000,28.67214012145996
1719206712.248613,2132000,27.097087860107422
1719206736.9859512,2136000,26.762510299682617
1719206766.8836923,2140000,26.3680477142334
1719206797.372352,2144000,27.630130767822266
1719206826.6416883,2148000,27.974140167236328
1719206856.7299547,2152000,25.995100021362305
1719206886.2791557,2156000,29.973108291625977
1719206916.393491,2160000,24.18777084350586
1719206946.7241912,2164000,27.308956146240234
1719206974.914504,2168000,30.26946449279785
1719206998.802176,2172000,28.866100311279297
1719207023.9915135,2176000,22.498878479003906
1719207054.9534516,2180000,27.542211532592773
1719207085.2377977,2184000,30.950117111206055
1719207115.632174,2188000,25.995025634765625
1719207147.510595,2192000,28.230031967163086
1719207176.7093563,2196000,29.043609619140625
1719207206.3685224,2200000,29.370933532714844
1719207234.1705987,2204000,25.78363037109375
1719207259.2153406,2208000,21.624666213989258
1719207286.356655,2212000,24.960819244384766
1719207316.7486835,2216000,30.599458694458008
1719207346.498,2220000,24.19723129272461
1719207376.6648211,2224000,29.42366600036621
1719207407.0689394,2228000,27.758825302124023
1719207437.6158507,2232000,28.04161262512207
1719207466.714707,2236000,26.49228858947754
1719207496.420317,2240000,27.683616638183594
1719207520.3031971,2244000,27.028358459472656
1719207546.5393825,2248000,25.590274810791016
1719207576.9688034,2252000,23.990819931030273
1719207606.6496549,2256000,31.56325340270996
1719207637.4264264,2260000,25.708566665649414
1719207666.3889751,2264000,27.40399742126465
1719207695.9046595,2268000,24.77752113342285
1719207725.7893107,2272000,25.283769607543945
1719207755.6846986,2276000,28.72406578063965
1719207779.0932333,2280000,22.893571853637695
1719207803.7905524,2284000,28.97710418701172
1719207834.5869596,2288000,28.587831497192383
1719207865.710447,2292000,27.993425369262695
1719207896.6235795,2296000,25.189451217651367
1719207925.7571974,2300000,27.801279067993164
1719207958.0603838,2304000,27.667591094970703
1719207987.0300913,2308000,31.070768356323242
1719208013.0127952,2312000,32.02436447143555
1719208037.053622,2316000,26.555152893066406
1719208065.479627,2320000,29.50555419921875
1719208096.0902185,2324000,27.46730613708496
1719208125.0208719,2328000,27.82579231262207
1719208153.95977,2332000,25.495458602905273
1719208183.2821589,2336000,32.98222351074219
1719208211.9808173,2340000,24.113876342773438
1719208240.1461875,2344000,27.1928768157959
1719208263.3783362,2348000,29.64373779296875
1719208290.2597678,2352000,25.105762481689453
1719208318.2270617,2356000,29.69072914123535
1719208345.878061,2360000,25.924285888671875
1719208375.507946,2364000,26.735445022583008
1719208407.515433,2368000,26.10214614868164
1719208436.946063,2372000,25.43305015563965
1719208467.4506924,2376000,27.140207290649414
1719208494.8751023,2380000,25.29010772705078
1719208518.5343344,2384000,28.464500427246094
1719208544.2566013,2388000,27.37403678894043
1719208571.6444068,2392000,26.87769889831543
1719208601.0605826,2396000,26.809776306152344
1719208629.850095,2400000,26.894119262695312
1719208658.788821,2404000,26.549043655395508
1719208686.9813979,2408000,26.490352630615234
1719208715.1174638,2412000,25.230958938598633
1719208746.1763906,2416000,24.37062644958496
1719208770.8837812,2420000,24.52193260192871
1719208794.4671679,2424000,27.068281173706055
1719208824.9409118,2428000,27.730249404907227
1719208856.1378462,2432000,28.406917572021484
1719208888.1389909,2436000,26.561689376831055
1719208917.0882404,2440000,27.951499938964844
1719208947.262171,2444000,23.639568328857422
1719208978.481343,2448000,25.464298248291016
1719209007.104279,2452000,29.349557876586914
1719209032.5588713,2456000,24.2399845123291
1719209055.9330666,2460000,28.74741554260254
1719209083.875118,2464000,27.856203079223633
1719209114.5291564,2468000,27.83504867553711
1719209144.6625257,2472000,26.0180721282959
1719209173.7747989,2476000,25.496414184570312
1719209203.840727,2480000,26.173603057861328
1719209233.1095967,2484000,28.864709854125977
1719209262.936706,2488000,28.467161178588867
1719209292.758089,2492000,26.162174224853516
1719209319.859629,2496000,26.12467384338379
1719209344.7706902,2500000,27.317502975463867
1719209374.5842226,2504000,27.56070327758789
1719209404.0860534,2508000,28.910188674926758
1719209435.6358488,2512000,26.750944137573242
1719209467.2175648,2516000,26.264490127563477
1719209497.8738217,2520000,28.609453201293945
1719209528.0520852,2524000,24.852977752685547
1719209558.779252,2528000,25.971221923828125
1719209583.643671,2532000,29.270465850830078
1719209607.7828555,2536000,25.35890769958496
1719209637.3948524,2540000,28.038715362548828
1719209666.6997201,2544000,27.674224853515625
1719209696.353223,2548000,28.71134376525879
1719209725.609744,2552000,27.585012435913086
1719209754.8089917,2556000,25.04071044921875
1719209784.3645153,2560000,24.34756088256836
1719209813.2699785,2564000,25.65102195739746
1719209838.699043,2568000,23.86622428894043
1719209862.004652,2572000,28.755170822143555
1719209890.2809377,2576000,26.846574783325195
1719209921.2967608,2580000,25.388126373291016
1719209951.2919881,2584000,27.014814376831055
1719209980.2759411,2588000,23.721776962280273
1719210008.9646237,2592000,27.472990036010742
1719210037.9696438,2596000,29.63981819152832
1719210068.0736556,2600000,26.65292739868164
1719210098.3077898,2604000,28.34272003173828
1719210123.474275,2608000,26.583152770996094
1719210147.427344,2612000,30.9995059967041
1719210175.7574573,2616000,27.25757598876953
1719210206.3302102,2620000,28.047897338867188
1719210234.786506,2624000,30.53460693359375
1719210263.6658032,2628000,23.385623931884766
1719210293.4387329,2632000,25.58783721923828
1719210323.0717793,2636000,26.48357391357422
1719210353.2352428,2640000,26.388572692871094
1719210380.9073908,2644000,22.94472885131836
1719210404.7746432,2648000,25.387475967407227
1719210431.023938,2652000,23.852005004882812
1719210462.037312,2656000,24.056428909301758
1719210491.2043982,2660000,24.126251220703125
1719210519.669336,2664000,27.24384117126465
1719210548.5119302,2668000,25.73166275024414
1719210577.5156348,2672000,23.041221618652344
1719210606.328009,2676000,24.663475036621094
1719210632.0014591,2680000,27.335556030273438
1719210655.505306,2684000,27.39470672607422
1719210683.360325,2688000,24.25575828552246
1719210712.2597103,2692000,25.900903701782227
1719210743.012141,2696000,25.246522903442383
1719210771.4246802,2700000,28.25638771057129
1719210800.3374941,2704000,25.54443359375
1719210827.9450524,2708000,22.582551956176758
1719210857.1408658,2712000,24.975440979003906
1719210880.6349041,2716000,25.089290618896484
1719210905.976062,2720000,25.21819305419922
1719210936.319547,2724000,25.12373924255371
1719210965.3866298,2728000,25.20115852355957
1719210994.188353,2732000,26.205711364746094
1719211023.6083438,2736000,27.994749069213867
1719211051.6969159,2740000,23.857988357543945
1719211081.7360058,2744000,26.46563720703125
1719211110.675506,2748000,29.507471084594727
1719211137.5296693,2752000,26.53870964050293
1719211161.4859252,2756000,25.354799270629883
1719211186.1076841,2760000,26.203081130981445
1719211217.5877347,2764000,24.066518783569336
1719211246.7499633,2768000,23.10424041748047
1719211275.4737506,2772000,28.255207061767578
1719211303.8089938,2776000,26.439332962036133
1719211333.5726645,2780000,26.237119674682617
1719211362.4197109,2784000,21.835289001464844
1719211391.9166315,2788000,25.18597984313965
1719211417.2833247,2792000,29.785268783569336
1719211441.5352771,2796000,24.269926071166992
1719211469.6510386,2800000,22.01205825805664
1719211499.9404473,2804000,23.91535758972168
1719211529.380527,2808000,22.94101333618164
1719211560.2759125,2812000,30.559932708740234
1719211590.8486772,2816000,26.44580078125
1719211621.4449246,2820000,26.722206115722656
1719211652.2173,2824000,26.635099411010742
1719211680.3859258,2828000,29.116426467895508
1719211705.02187,2832000,24.9063663482666
1719211731.2819595,2836000,26.366254806518555
1719211761.7411377,2840000,26.650529861450195
1719211792.8257859,2844000,26.56414794921875
1719211822.2508883,2848000,23.743839263916016
1719211852.6469936,2852000,25.46305274963379
1719211883.473208,2856000,24.107316970825195
1719211913.6902905,2860000,27.254043579101562
1719211941.7592435,2864000,25.80068016052246
1719211965.9138772,2868000,26.47111701965332
1719211994.472902,2872000,24.212778091430664
1719212025.1760933,2876000,23.79584312438965
1719212053.9290595,2880000,24.578153610229492
